iteration,permuted_r2
1,-0.5936533917744694
2,-0.4168704950466774
3,-1.1948073261245347
4,-0.33977469047580894
5,-0.1999723658971692
6,-0.23386527296561574
7,-0.4854624837693778
8,-0.3133872974934699
9,-0.3252669670989349
10,-0.4637931807254467
11,-0.16994191050789312
12,-0.5451929560084813
13,-0.04889176136849579
14,-0.2091311180616658
15,-0.891102764910508
16,-0.19481471255688004
17,-0.30598864741698145
18,-0.23795606401412045
19,-0.39033715825287446
20,-0.10789940563786803
21,-0.23607626333987122
22,-0.12491671400938895
23,-0.1540170521776065
24,-0.36474210628394715
25,-0.32654676290252466
26,-0.2425610152354801
27,-0.16091677677947241
28,-0.37559746555025025
29,-0.07983161154827148
30,-0.13175882704552902
31,-0.42662243328260746
32,-0.26754467711603863
33,-0.2571210894804496
34,-0.40261341566511216
35,-0.31052042877552816
36,-0.12787279484213915
37,-0.29220353951263284
38,-0.6479489534360974
39,-0.29137790134622943
40,-0.16554998375042304
41,-1.1026933822205351
42,-0.7442136113802408
43,-0.07838644010477093
44,-0.17302613403411674
45,-0.4574524580090275
46,-0.5074692950423867
47,-0.19452048488252255
48,-0.5613758997913921
49,-0.3621474094881169
50,-0.3193959078503159
51,-0.5432347950829123
52,-0.7227485685789282
53,-0.6086390270780653
54,-0.512358910763404
55,-1.0678813649660204
56,-0.12095494585196127
57,-0.3084685422758559
58,-0.30417876173270597
59,-0.9959541064130367
60,-0.5235815140688477
61,-0.2860986714430214
62,-0.6184432071348108
63,-0.3645651486389803
64,-0.16384623731123302
65,-0.2583912351566777
66,-2.7405744062509902
67,0.11538360236408625
68,-0.5803436868217438
69,-0.18617679244871232
70,-0.12022720784696728
71,-0.0966790695206547
72,-0.16097160791602505
73,-0.5278181014811365
74,-0.1569247141575765
75,-0.19885475872655012
76,-0.4490540535974793
77,-0.5955886984438445
78,-0.48481236809801675
79,-0.17582960120093505
80,-0.1265616524635603
81,-0.17214941984790563
82,-0.31347080395883664
83,-0.12629189536652632
84,-0.3777828902893519
85,-0.6137206565584833
86,-0.23874024611421904
87,-1.3368311684540433
88,-0.5732917873671207
89,-0.6144988926336937
90,-0.1750665278549503
91,-0.16819862808409386
92,-1.067604712644181
93,-0.45865758546336366
94,-0.29556607918431005
95,-0.24790244253611954
96,-0.5757959644339088
97,-0.13292585036035337
98,-0.4295821776803451
99,-0.38869916578544167
100,-0.37934668855468484
101,-0.3294356557601744
102,-0.2006187332975506
103,-0.36026986640321684
104,-0.46712702174284043
105,-0.987174361336172
106,-0.23402584901337656
107,-0.5921635174511869
108,-0.2612388539198456
109,-0.2454777195798115
110,-0.4361226426329103
111,-0.4667870795516574
112,-0.5309271248431418
113,-0.10343148701937231
114,-0.31072008415719615
115,-0.5099683225941237
116,-0.3046187068417107
117,-0.029315480807568597
118,-1.9088752192656802
119,-0.3478704182460251
120,-0.35083559163985445
121,-0.049098799847112726
122,-0.098879991892451
123,-0.2751481585340036
124,-0.2550155587716822
125,-0.19822889420960838
126,-0.16943247439187678
127,-0.3399400272482557
128,-0.5789836789025458
129,-0.862666056662009
130,-0.16025637765341802
131,-0.3101247667652052
132,-0.18117425819063135
